"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 20 19:42:20 MSK 2022","Wed Apr 20 19:42:32 MSK 2022","11958","","Click on the button","","Click on the button","Click on the main button","Click on the main button",""
"passed","Wed Apr 20 19:40:35 MSK 2022","Wed Apr 20 19:40:36 MSK 2022","359","","","","","","",""
